name,address,lat,lng,rating,reviews,location_name,fsq_id
The Sahib Room & Kipling Bar,"The Palladium Hotel (462 Senapati Bapat Marg, Lower Parel), Mumbai 400013, Mahārāshtra",0,0,,0,Lower Parel,
Francesco's,,0,0,,0,Lower Parel,
Yuuka by Ting Yen,"Level 37, Palladium Hotel (462 Senapati Bapat Marg, Lower Parel), Mumbai 400013, Mahārāshtra",0,0,,0,Lower Parel,
Mekong,"The St. Regis Mumbai (Lower Parel), Mumbai, Mahārāshtra",0,0,,0,Lower Parel,
Li Bai - St. Regis,"462, Senapati Bapat Marg, Mumbai 400013, Mahārāshtra",0,0,,0,Lower Parel,
Indigo Delicatessen,"1st Flr., Palladium, High Street Phoenix (Senapati Bapat Marg, Lower Parel), Mumbai 400013, Mahārāshtra",0,0,,0,Lower Parel,
Trupti,"12B, High Street Phoenix (Senapati Bapat Marg Lower Parel), Mumbai 4000013, Mahārāshtra",0,0,,0,Lower Parel,
Lifestyle @ Skyzone,"Phoenix Mills, Lower Parel (Tulsi Pipe Road), Mumbai, Mahārāshtra",0,0,,0,Lower Parel,
Lemon Leaf,"Comet Building, Mumbai, Mahārāshtra",0,0,,0,Bandra West,
Café Coffee Day,Turner Road,0,0,,0,Bandra West,
Pagal Pan Bhandar,"Turner Road (Turner Road, Opposite Lemongrass Restaurant), Mumbai 400050, Mahārāshtra",0,0,,0,Bandra West,
Sahibaan,"Turner Road, Mumbai 400 050, Mahārāshtra",0,0,,0,Bandra West,
Tiffins,"Guru nanak marg, Mumbai 400050, Mahārāshtra",0,0,,0,Bandra West,
145 Bandra,"Hsbc Building, Off Turner Road, Pali Hill, Bandra West, Mumbai, Mahārāshtra",0,0,,0,Bandra West,
The Bandra Project,"C 534A, Ground Floor, Hsbc Building, Dr Ambedkar Road, Pali Hill, Bandra West, Mumbai 400050, Mahārāshtra",0,0,,0,Bandra West,
Sweetish House Mafia,"Shop No.3, Building No.42, Matruchaya, New Link Road, Oshiwara, Mumbai, Mahārāshtra",0,0,,0,Bandra West,
Five Spice Restaurant,"Bandra (West) (Pali Naka), Mumbai City district, Mahārāshtra",0,0,,0,Bandra West,
Burrito Factory,"Shakti Raj Chs, 6, Pali Road, Pali Hill, Bandra West, Mumbai, Mahārāshtra",0,0,,0,Bandra West,
Candylicious The Candy Bouquet Shop,"Bandra (W) (Perry Cross Road), Mumbai, Mahārāshtra",0,0,,0,Bandra West,
BuSaGo,"Pali Hill, Mumbai, Mahārāshtra",0,0,,0,Bandra West,
Papa Pancho Da Dhaba,"Johns Street Dr Ambedkar Road, Mumbai 400 050, Mahārāshtra",0,0,,0,Bandra West,
Kitchen Garden by Suzette,"Pali Naka (Bandra West), Opp Golds Gym, Mahārāshtra",0,0,,0,Bandra West,
Joseph Cold Storage,,0,0,,0,Bandra West,
Suzette,"St John Street, Opp Golds Gym, Pali Naka, Bandra West St John St, Pali Hill, Mumbai (Dr. Ambedkar Road), Mumbai 400050, Mahārāshtra",0,0,,0,Bandra West,
Javaphile,"St John’s Road (St Alexious Road), Mumbai 400050, Mahārāshtra",0,0,,0,Bandra West,
The Irish House,"7, A-Wing, Gasper Enclave (Pali Naka, Pali Hill), Mumbai 400050, Mahārāshtra",0,0,,0,Bandra West,
Mac Craig,"Pali, Mumbai, Mahārāshtra",0,0,,0,Bandra West,
Crossword,"Bandra West (Turner Road), Mumbai 400101, Mahārāshtra",0,0,,0,Bandra West,
Indigo Deli,"Pali Hill (Bandra), Mumbai, Mahārāshtra",0,0,,0,Bandra West,
The Boston Butt,"Palinaka, มุมไบ 400050, มหาราษฏระ",0,0,,0,Bandra West,
Jai hind,Lower Parel,0,0,,0,Bandra West,
Rotunda - The Center For Human Reproduction,"36, Turner Road, Bandra West, Mumbai, Mahārāshtra",0,0,,0,Bandra West,
Kitchen Garden,"Gasper Enclave (St John Street, Bandra), Mumbai 400050, Mahārāshtra",0,0,,0,Bandra West,
Bagelwala!,"Crowne Palace, Near Tarun Tahiliani Sore (Off Turner Rd, Bandra), Mumbai 400050, Mahārāshtra",0,0,,0,Bandra West,
Pixion Studio Smoke 8,,0,0,,0,Bandra West,
Pali Village Café,"602 Ambedkar Road, near Janta, Pali Naka (Bandra), Mumbai 400050, Mahārāshtra",0,0,,0,Bandra West,
Pali Bhavan,"10, Adarsh Nagar, Pali Naka, Near Costa Coffee (Bandra), Mumbai 400050, Mahārāshtra",0,0,,0,Bandra West,
